ف,,,,,,,,,
فساد,تباهی ؛ تبهکاری ؛ خرابی,,,,,,,,
فستیوال (فرا) جشنواره  (از نادر نادرپور)؛,,,,,,,,,
فروغ,نور؛ روشنایی,,,,,,,,
فرهنگ,چاه پیدایش قنات,,,,,,,,
فریب,گول,فریفتن,,,,,,,
فریفتن,گول زدن؛,,,,,,,,
فسانه,افسانه ؛ جادو,فسون,,,,,,,
فسون,افسون ؛ جادویی,,,,,,,,
فسیل (فرا),سنگواره,,,,,,,,
فصاحت,سخنوری ؛ گشاده سخنی,فصیح,فصیح و بلیغ,,,,,,
فصیح,شیوا,,,,,,,,
فصیح و بلیغ,شیوا و رسا,,,,,,,,
فصل,یک بخش از چهار بخش سال ؛ یک بخش از بخش های کتاب,,,,,,,,
فصل,جدا کردن,جداک,فصل و وصل,,,,,,
جداک,( بر ساخته و با وام از روش احمد کسروی),,,,,,,,
فصل و وصل,جداکردن و چسباندن,,,,,,,,
فضا,پهنه آسمان,محفَضه,,,,,,,
محفَضه,جایی یا فضایی برای نگهداری برخی از چیز ها,,,,,,,,
,,,,,,,,,
فضل,برتری (بویژه در دانش و دانایـی) ؛ افزونی ؛ بخشش فضله,,,,,,,,
فضله,۱مانده هر چیز ۲ سرگین جانوران ؛ گُه,,,,,,,,
فاضل,فرزانه ؛ آگاه ؛ دانا,فضولی,,,,,,,
فضولی,یاوه گویی ؛ بیهوده گویی ؛ سخن زیادی ؛ دخالت درکار دیگران,,,,,,,,
فضول,کنجکاو,فضل تقدم,,,,,,,
فضل تقدم,برتری,,,,,,,,
فطرت,سرشت,,,,,,,,
فطیر,نانی که با خمیر ور نیآمده پخته شده است,,,,,,,,
فعّال,پُر کـار ؛ کـار آمـد ؛ پـویـنــده ؛ کنشـگر ؛ کـوشنده,فــعل,فـعل,فعلا,فعلیّت,مفعول,,استفعال,فعّال سیا سی
فــعل,کنش (اک),,,,,,,,
فـعل,کـار واژه ؛ گُواژه,,,,,,,,
فعلا,اکنون,,,,,,,,
فعلیّت,کنشگری,,,,,,,,
مفعول,کرده شده,,,,,,,,
استفعال,در خواست کاری را کردن,,,,,,,,
مفاعله,با هم کار کردن,,,,,,,,
فعّال سیا سی,کوشنده سیاسی,,,,,,,,
فضاحت,رسوایـی,فضیح,مفتضح,افتضاح,,,,,
فضیح,زشت ؛ زننده,,,,,,,,
فقط,تنها,,,,,,,,
فقر,نداری,فقیر,,,,,,,
فقیر,گدا ؛ بی چیز ؛ ندار ؛ نیازمند ؛ تهیدست,,,,,,,,
فقه,دانش دین,فقیه,,,,,,,
فقیه,آگاه از دانستنی های دینی ؛ دانای دین,,,,,,,,
فکر,سِگال ؛ چاره ؛ اندیشه ؛  [بیشه اندیشه ها,( از دیوان شمس تبریزی )],فکر کردن,افکار,متفکر,تفکّر,بد فکر,,
فکر کردن,اندیشیدن,,,,,,,,
فلاکت,بدبختی ؛ سیه روزی,,,,,,,,
فلک,روزگار ؛ سپهر (در شاهنامه),فلک زده,مفلوک,فلک الافلاک,,,,,
فلک زده,مادر مرده ؛ بدبخت ؛ بیچاره,,,,,,,,
فلک الافلاک,سپهر بَرین,,,,,,,,
فنومن (فَر) / فنومنا,پدیده ؛ نمود,,,,,,,,
فهم,درک ؛ دریافت ؛ دریافتن.[ آنچه گفتم؛ دریافتی؟ ــ آری. دریافتم.],فهیم,,,,,,,
فهیم,دانا ؛ خردمند ؛ فهمیده,,,,,,,,
فهماندن,حالی کردن,فهمانیدن,فهمیده,,,,,,
فهمانیدن,در سر یا کله کسی فرو کردن ؛ حالی کردن,,,,,,,,
فهمیده,دانا ؛ فرهیخته,,,,,,,,
فهمیدن,درک کردن ؛ دریافت کردن ؛ دریافتن,استفهام,,,,,,,
فوت,مردن ؛ در گذشتن ؛ بآن جهان رفتن,وفات,مُتوفی,,,,,,
فورا,بیدرنگ ؛ در دَم,,,,,,,,
فوق,با لا ؛ روی ؛ رو ؛ بالای,فوق الذکر,فوق الطبیعه,فوق العاده,,,,,
فوق الذکر,گفته شده در بالا,,,,,,,,
فوق الطبیعه,مینوی ؛ آسمانی,,,,,,,,
فوق العاده,بیش از اندازه  ؛  شاهکار,,,,,,,,
فی,(عر) در؛ از ؛ درون ؛ با,فی الحال,فی السبیل الله,فی الفور,فی المثل,فی المجلس,فی النفسه,,
فی الحال,اکنون ؛ در این هنگام,,,,,,,,
فی السبیل الله,در راه خدا,,,,,,,,
فی الفور,دَر دَم ؛ هم اکنون,,,,,,,,
فی المثل,برای نمونه,,,,,,,,
فی المجلس,همانجا ؛ درجا,,,,,,,,
فی النفسه,بخود، به خویشتن,,,,,,,,
فیزیک,(فر) کالبد ؛ کالبدی,متا فیزیک (فرا),,,,,,,
متا فیزیک (فرا),گیتی ؛ آن سوی جهان کالبدی,,,,,,,,
فیش (فر),مقوا یا کاغذ یکه رویش واژه یا مانند آن یاد داشت میشود,,,,,,,,
فیشیه (فر),برگه دان ؛ [جایی که فیش ها نگهداری میشوند],,,,,,,,
فیؤدال (فَر),خان,فیؤدالیته (فَر),,,,,,,
فیؤدالیته (فَر),خان خانی,,,,,,,,
فیزیوتراپی (فَر),تن درمانی,,,,,,,,
فیل,پیل,,,,,,,,
فیلسوف (معرب ؛ بر گشته از یونانی  به عربی),فرزانه ؛ حکیم (عر) ؛ دوستدار حکمت ؛ اندیشمند (آ.د.),,,,,,,,
