‫باب,باب,پدر (ن. ه.) ,  در خور,در ؛ زمینه ؛ بخش [سعدی گلستان را چون بهشت بهَشت باب نوشته] * مِن باب مثال ,
‫بخیل,بخیل,لَچَر؛ فرو مایه ؛ هرزه ؛ پست ؛ چرکین ؛ چشم تنگ / تنگ چشم,,‬,
‫بد عادت,بد عادت,بد خو؛ دژ خو,,‬,
‫بد سرشت,بد سرشت,بد خیم ؛ دژخیم,,‬,
‫بد فکر,بد فکر,بد سگال ؛ بد اندیش,,‬,
‫بد طینت,بد طینت,بد سرشت ؛ بد دل,,‬,
‫بدن,بدن,تن * علم الابدان و علم الادیان: دانش بدن ها [دانش پزشکی] و دانش دین ها [دانش آخوندی],,‬,
‫بدنه,بدن,تنه,,‬,
‫بدایت,بَدو,آغاز,,‬,
‫ بَدو,بَدو,آغاز,,‬,
‫ بدوی,بَدو,آغازین,‬,,
‫بذله گو,بذله گو,شوخ ؛ شیرین سخن ؛  طنز پرداز,,‬,
‫ بذله گویی,بذله گو,شوخگویی ؛ خوشمزگی,,‬,
‫بَراز,بَراز,از برازیدن,,‬,
‫براعت,براعت,دیدن ماه نو *براعت استهلال ‪:‬  گونه ای فشرده گفته یا سروده که در آغاز سخن بکار میرفته و شنونده را از آنچه خواهد آمد ؛ آگاه میکرده است.,,‬,
‫بَرُاق,بَرُاق,درخشان,,‬,
‫بر خوردن,بر خوردن,رنجیدن  ,روبرو شدن,‬,
‫بر دمیدن,بر دمیدن,از کوره در رفتن ,در آمدن خورشید در بامداد,‬,
‫برق,برق,آذرخش ؛ درخشش ؛ برق آسمانی * رعد و برق‪:‬  غرش و درخشش,,,‬
‫بر قرار,بر قرار,پایدار ؛ استوار ؛ پا بر جا,,‬,
‫برهان,برهان,آوند (پهلوی) ؛ دست آویز,,‬,
‫برید,برید,چاپار ؛ پُست,,‬,
‫بزهکار,بزهکار,نا دُرست ؛ نه راست,,‬,
‫بسنده خویی,بسنده خویی,(آ.د.) خوشنودی,,‬,
‫بشارت,بشارت,مژده,,‬,
‫بَشّاش,بَشّاش,شادان ؛ خندان,,‬,
‫بصیر,بصیر,بینا ؛ آگاه ؛ خبره,,‬,
‫بصیری,بصیر,بینایی,,‬,
‫بعث,بعث,رستاخیز,,‬,
‫ بعثت,بعث,رساندن ؛ برگزیده شدن * بعثت حضرت محمد:  برگزیده شدن ایشان به پیامبری,,‬,
‫بَعد,بَعد,سپس ؛ پس,,‬,
‫ بَعد تر,بَعد,پسانتر ؛ پساتر,,‬,
‫ بعید,بَعد,بسیار دور,,‬,
‫بُعد,بُعد,دوری ؛ اندازه بین دو چیز * بُعد مسافت‪:‬ دوری راه ؛  قرب و بُعد : نزدیکی و دوری,,‬,
‫بعضی,بعضی,برخی ؛ پاره یی,,‬,
‫بغرنج,بغرنج,پیچیده,,‬,
‫بغل (پهل),بغل,آغوش ؛ کنار ؛ سمت ؛ طرف ؛ سو,,‬,
‫بغلی,بغل,کناری,,‬,
‫بغل کردن,بغل,در آغوش گرفتن,,‬,
‫بقیّه,بقیّه,دیگر ؛ دیگران ,  آنچه بجا مانده ه * مابقی : هر آنچه مانده,‬,
‫بقا,بقیّه,آنچه بجای مانده است,,‬,
‫بکر,بکر,دست نخورده ؛ انجام کاری نو و تازه,,‬,
‫ باکره,بکر,دوشیزه,,‬,
‫ بکارت,بکر,دوشیزگی,,‬,
‫بالغ بر,بالغ بر,بیش از,,‬,
‫بگمار,بگمار,میگساری ؛ میهمانی ؛ می خواری,,‬,
‫بلاغت,بلاغت,شیوا سخنی ؛ سخنور ؛ گفتار رسا و گویا,,‬,
‫ بلافاصله,بلافاصله,بی درنگ,,‬,
‫بَلَد,بَلَد,شهر ‪%‬  راه نما  راهنما,,‬,
‫بُلدان,بَلَد,شهرها,,‬,
‫بلدیه,بَلَد,شهرداری,,‬,
‫بَلَد بودن,بَلَد,دانستن ؛ شناختن ؛ شناسایی * نفی بلد‪:‬ رانده شده از زادگاه,‬,,
‫بلدیت,بَلَد,آشنا یی یا شناسایی با شهری که مسافر تازه وارد میخواهد با آن آشنا شود [ سفر نامه  ناصر خسرو],,‬,
‫بلوغ,بلوغ,از خُردی در آمدن و به نو جوانی رسیدن ؛ بزرگ شدن,,‬,
‫  بلیغ,بلوغ,شیوا ؛ رسا، ؛ گشاده سخن,,‬,
‫بلاغت,بلوغ,رسایی سخن,,‬,
‫بالغ,بلوغ,بزرگ,,‬,
‫بمجردِ,بمجردِ,در همان آن,,‬,
‫بن ؛ ابن,بن ؛ ابن,پسر [سام بن ایرج],,‬,
‫ بنت,بن ؛ ابن,دختر [شریفه بنت ابراهیم ],,‬,
‫بند واژه,بند واژه,هر یک از حرف های الفبا (ا، ک),,‬,
‫بُندهش,بُندهش,آغاز آفرینش,,‬,
‫بنیاد,بنیاد,پایه گذاری ,,‬,
‫بنیان,بنیان,بنا کردن ؛ بنا نهادن ؛ پایه  ؛ پی نهادن ؛ شالوده,,‬,
‫بُنیه,بُنیه,توانایی ؛ نیرو؛,,‬,
‫بودجه,بودجه,برنامه ریزی برای برآوردِ درآمد ها وهزینه ها,,‬,
‫بورُکراسی (فرا),بورُکراسی (فرا),دیوانسالاری,,‬,
‫بهاء,بهاء,ارزش * کم بهاء‪:‬  کم ارزش,,‬,
‫بهره,بهره,سود ؛ میوه ؛ بر    [بهره واژه ای است پهلوی],,‬,
‫بهره  بهره,بهره,بخش   بخش,,‬,
‫بهرمند,بهره,سود مند,,‬,
‫بوجود آوردن,بوجود آوردن,بود بخشی,,‬,
‫بهانه,بهانه,دست آویز,,‬,
‫بهشت,بهشت,پردیس,,‬,
‫بهمن,بهمن,نیک اندیش,‪‬ ریزش انبوه شده و زیاد برف در نشیب و سرازیری کوه,‬,
‫بیات,بیات,شب مانده,,‬,
‫بیان,بیان,زبان آوری  ,آشکار کردن,‬,
‫ بیان کردن,بیان,باز نمودن (اک) ,گفتن ؛ بر شمردن,‬,
‫بیانیّه,بیان,آگاهی نامه,,‬,
‫بی احتیاط,‫بی احتیاط,بی پروا,,,
‫ بی انتها,‫ بی انتها,بی پایان,,,
‫بیت,بیت,خانه * بیت الخلا ‪:‬ مستراح ؛  آبریز گاه ؛ دستشویی ؛  * بیت المال ‪:‬  گنج خانه همگانی,,‬,
‫بی حجاب,بی حجاب,روباز ؛ بی پرده,,‬,
‫بی ثمر,بی ثمر,بدون میوه و بی بر و بار,,‬,
‫بی شکل,بی شکل,بی ریخت ؛ بدون ریخت,,‬,
‫بیضه,بیضه,خایه (تخم ؛ تخم مرغ [رستم هنگام برگزیدن رخش آنرا سیاه خایه مینامد],,‬,
‫بیعت,بیعت,سازش,,‬,
‫بیقرار,بیقرار,ناشکیبا,,‬,
‫ بیقراری,بیقرار,ناشکیبایی,,‬,
‫بی قید,بی قید,بی بند و بار,,‬,
‫بینال,بینال,(فرانگل) دوسالانه,,‬,
‫بین,بین,میان * بین المللی ‪:‬  جهانی  ؛  بین النهرین ‪:‬  میان دو رود؛  دجله و فرات ؛ بین الهِلالین ‪:‬ در میان دو کمان,,‬,
‫بی خبر آمدن,بی خبر آمدن,سر زده آمدن,,‬,
‫بی نصیب,بی نصیب,بی چیز,,‬,
‫بی نظم,بی نظم,بی سامان,,‬,
‫بی نظیر,بی نظیر,بی مانند ؛ بی همتا,,‬,
‫بیوگرافی (فرا)/ بایوگرافی (انگل),بیوگرافی (فرا)/ بایوگرافی (انگل),زندگینامه,,‬,
‫بیولوژی (فرا)  / بایولوژی (انگل),بیولوژی (فرا)  / بایولوژی (انگل),زیست شناسی,,‬,
‫بیم,بیم,ترس از گمان و  یا از گزند زیاد در آینده,,‬,
